artist,chart_position,country,production_house,title,week,weeks_on_chart
AVA MAX,1,UK,ATLANTIC,SWEET BUT PSYCHO,2,12
ARIANA GRANDE,2,UK,REPUBLIC RECORDS,THANK U NEXT,2,10
MARK RONSON FT MILEY CYRUS,3,UK,COLUMBIA,NOTHING BREAKS LIKE A HEART,2,6
POST MALONE,4,UK,REPUBLIC RECORDS,WOW.,2,3
POST MALONE FT SWAE LEE,5,UK,REPUBLIC RECORDS,SUNFLOWER,2,12
HEADIE ONE FT DAVE,6,UK,RELENTLESS,18HUNNA,2,1
JAMES ARTHUR & ANNE-MARIE,7,UK,ATLANTIC,REWRITE THE STARS,2,8
GEORGE EZRA,8,UK,COLUMBIA,HOLD MY GIRL,2,13
FREYA RIDINGS,9,UK,GOOD SOLDIER,LOST WITHOUT YOU,2,26
HALSEY,10,UK,CAPITOL,WITHOUT ME,2,14
JAX JONES/YEARS & YEARS,11,UK,POLYDOR,PLAY,2,6
ZARA LARSSON,12,UK,BLACK BUTTER/EPIC/TEN,RUIN MY LIFE,2,12
KODAK BLACK/SCOTT/OFFSET,13,UK,ATLANTIC,ZEZE,2,13
PINKFONG,14,UK,RELENTLESS,BABY SHARK,2,22
CHRIS BROWN,15,UK,RCA,UNDECIDED,2,1
GEORGE EZRA,16,UK,COLUMBIA,SHOTGUN,2,42
CLEAN BANDIT/MARINA/LUIS FONSI,17,UK,ATLANTIC,BABY,2,10
MEEK MILL FT DRAKE,18,UK,ATLANTIC,GOING BAD,2,6
JESS GLYNNE,19,UK,ATLANTIC,THURSDAY,2,13
ARIANA GRANDE,20,UK,REPUBLIC RECORDS,IMAGINE,2,4
LADY GAGA & BRADLEY COOPER,21,UK,INTERSCOPE,SHALLOW,2,15
CALVIN HARRIS & DUA LIPA,22,UK,COLUMBIA/WARNER BROS,ONE KISS,2,37
SETTLE/GREATEST SHOWMAN ENS,23,UK,ATLANTIC,THIS IS ME,2,54
PINK,24,UK,ATLANTIC,A MILLION DREAMS,2,11
NSG FT TION WAYNE,25,UK,NSG,OPTIONS,2,2
SHECK WES,26,UK,INTERSCOPE,MO BAMBA,2,13
CALVIN HARRIS & SAM SMITH,27,UK,COLUMBIA,PROMISES,2,21
LITTLE MIX FT NICKI MINAJ,28,UK,SYCO MUSIC,WOMAN LIKE ME,2,13
RITA ORA,29,UK,ATLANTIC,LET YOU LOVE ME,2,16
CADET & DENO DRIZ,30,UK,UNDERRATED LEGENDS,ADVICE,2,16
BENNY BLANCO/HALSEY/KHALID,31,UK,INTERSCOPE,EASTSIDE,2,26
