artist,chart_position,count,country,production_house,title
"
						SANGE FRA FØRSTE SAL",1,,," 
		WARNER MUSIC","
						KIM LARSEN"
"
						WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2,,," 
		UNIVERSAL MUSIC","
						BILLIE EILISH"
"
						A STAR IS BORN (SOUNDTRACK)",3,,," 
		UNIVERSAL MUSIC","
						LADY GAGA & BRADLEY COOPER"
"
						FREE SPIRIT",4,,," 
		RCA / SONY MUSIC","
						KHALID"
"
						MAP OF THE SOUL : PERSONA",5,,," 
		BIGHIT ENTERTAINMENT","
						BTS"
"
						FOREVIGT",6,,," 
		FORTYFIVE / COPENHAGEN RECORDS / UNIVERSAL ","
						HANS PHILIP"
"
						MGP 2019",7,,," 
		SONY MUSIC","
						DIVERSE"
"
						THANK U, NEXT",8,,," 
		UNIVERSAL MUSIC","
						ARIANA GRANDE"
"
						BEERBONGS & BENTLEYS",9,,," 
		UNIVERSAL MUSIC","
						POST MALONE"
"
						3 (THE PURPLE ALBUM)",10,,," 
		COPENHAGEN REC / THEN WE TAKE THE WORLD / U","
						LUKAS GRAHAM"
"
						DIVIDE",11,,," 
		WARNER MUSIC","
						ED SHEERAN"
"
						LUKAS GRAHAM (BLUE ALBUM)",12,,," 
		COPENHAGEN REC / THEN WE TAKE THE WORLD / U","
						LUKAS GRAHAM"
"
						ROBOT´N´ROLL",13,,," 
		SONY MUSIC / GENLYD","
						GNAGS"
"
						2000",14,,," 
		SONY MUSIC","
						ZK"
"
						DEATH RACE FOR LOVE",15,,," 
		UNIVERSAL MUSIC","
						JUICE WRLD"
"
						UNDER THE SURFACE",16,,," 
		WARNER MUSIC / PARLOPHONE","
						CHRISTOPHER"
"
						SHAWN MENDES",17,,," 
		UNIVERSAL MUSIC","
						SHAWN MENDES"
"
						VENTURA",18,,," 
		WARNER MUSIC","
						ANDERSON .PAAK"
"
						?",19,,," 
		BAD VIBES FOREVER / CAROLINE INT. / UNIVERS","
						XXXTENTACION"
"
						HOODIE SZN",20,,," 
		WARNER MUSIC","
						A BOOGIE WIT DA HOODIE"
"
						DONT SMILE AT ME",21,,," 
		UNIVERSAL MUSIC","
						BILLIE EILISH"
"
						UNDER AL KRITIK",22,,," 
		SONY MUSIC / AM:G MUSIC","
						UDE AF KONTROL"
"
						SCORPION",23,,," 
		UNIVERSAL MUSIC","
						DRAKE"
"
						ASTROWORLD",24,,," 
		SONY MUSIC","
						TRAVIS SCOTT"
"
						PLANETS - EP",25,,," 
		WARNER MUSIC","
						NICKLAS SAHL"
"
						STONEY",26,,," 
		UNIVERSAL MUSIC","
						POST MALONE"
"
						BENJAMIN OG ALBERT",27,,," 
		SONY MUSIC","
						BENAL"
"
						WHATEVER IT IS",28,,," 
		SONY MUSIC","
						GANGWAY"
"
						SOLKONGEN",29,,," 
		NO3 / SONY MUSIC","
						THE MINDS OF 99"
"
						FORKLÆDT SOM VOKSEN",30,,," 
		WARNER MUSIC / PARLOPHONE","
						KIM LARSEN & BELLAMI"
"
						GOODBYE & GOOD RIDDANCE",31,,," 
		UNIVERSAL MUSIC","
						JUICE WRLD"
"
						SPIDER-MAN: INTO THE SPIDER-VERSE",32,,," 
		UNIVERSAL MUSIC","
						SOUNDTRACK"
"
						AMERICAN TEEN",33,,," 
		SONY MUSIC","
						KHALID"
"
						BOHEMIAN RHAPSODY (ORIGINAL SOUNDTRACK)",34,,," 
		UNIVERSAL MUSIC","
						QUEEN"
"
						NARRATED FOR YOU",35,,," 
		WARNER MUSIC","
						ALEC BENJAMIN"
"
						INGEN KAN LOVE DIG I MORGEN",36,,," 
		ARTPEOPLE / UNIVERSAL MUSIC","
						RASMUS SEEBACH"
"
						MIDT OM NATTEN",37,,," 
		WARNER MUSIC / PARLOPHONE","
						KIM LARSEN"
"
						NORDSIDEN",38,,," 
		HERITAGE / SONY MUSIC","
						JAMAIKA"
"
						FØR VI MØDTE DIG",39,,," 
		ARTPEOPLE / OFFBEAT / UNIVERSAL MUSIC","
						RASMUS SEEBACH"
"
						PLANETS",40,,," 
		WARNER MUSIC","
						NICKLAS SAHL"
