artist,chart_position,count,country,production_house,title
Twenty One Pilots,1,,,,Chlorine
Jonas Brothers,2,,,,Sucker
Lauv & Troye Sivan,3,,,,I'm So Tired
Imagine Dragons,4,,,,Bad Liar
Ava Max,5,,,,So Am I
Calvin Harris & Rag'n'bone Man,6,,,,Giant
Lil Peep & ILoveMakonnen feat. Fall Out Boy,7,,,,I've Been Waiting
Zedd & Katy Perry,8,,,,365
Mabel,9,,,,Don't Call Me Up
Post Malone,10,,,,Wow
Sam Smith & Normani,11,,,,Dancing With A Stranger
Ellie Goulding & Diplo feat. Swae Lee,12,,,,Close To Me
Lewis Capaldi,13,,,,Someone You Loved
Martin Garrix feat. Bonn,14,,,,No Sleep
Ava Max,15,,,,Sweet But Psycho
Halsey feat. Juice WRLD,16,,,,Without Me
Robin Schulz feat. Erika Sirola,17,,,,Speechless
Post Malone feat. Swae Lee,18,,,,Sunflower
Dynoro & Ina Wroldsen,19,,,,Obsessed
Jax Jones & Years & Years,20,,,,Play
Billie Eilish,21,,,,Bury A Friend
Lady Gaga & Bradley Cooper,22,,,,Shallow
Rita Ora feat. 6lack,23,,,,Only Want You
Martin Jensen & James Arthur,24,,,,Nobody
"Benny Blanco, Selena Gomez, J Balvin & Tainy",25,,,,I Can't Get Enough
Gesaffelstein & The Weeknd,26,,,,Lost In The Fire
Jax Jones & Martin Solveig feat. Madison Beer,27,,,,All Day And Night
Jonas Blue feat. Theresa Rex,28,,,,What I Like About You
"Alan Walker, Sabrina Carpenter & Farruko",29,,,,On My Way
Marshmello feat. CHVRCHES,30,,,,Here With Me
Bebe Rexha,31,,,,Last Hurrah
David Guetta feat. Brooks & Loote,32,,,,Better When You're Gone
P!nk,33,,,,Walk Me Home
Rita Ora,34,,,,Let You Love Me
Clean Bandit feat. Marina and The Diamonds & Luis Fonsi,35,,,,Baby
Steve Aoki feat. BTS,36,,,,Waste It On Me
Panic At The Disco,37,,,,High Hopes
Alle Farben feat. James Blunt,38,,,,Walk Away
Dua Lipa & Blackpink,39,,,,Kiss And Make Up
Alan Walker & Sophia Somajo,40,,,,Diamond Heart
