artist,chart_position,count,country,production_house,title
,1,,,,
Suzan & Freek,2,,,,"
                                            Als Het Avond Is
                                        "
Daddy Yankee feat. Snow,3,,,,"
                                            Con Calma
                                        "
Mabel,4,,,,"
                                            Don't Call Me Up
                                        "
Duncan Laurence,5,,,,"
                                            Arcade
                                        "
Calvin Harris & Rag'n'Bone Man,6,,,,"
                                            Giant
                                        "
Kris Kross Amsterdam & Maan & Tabitha feat. Bizzey,7,,,,"
                                            Hij Is Van Mij
                                        "
Robin Schulz feat. Erika Sirola,8,,,,"
                                            Speechless
                                        "
Krezip,9,,,,"
                                            Lost Without You
                                        "
Guy Sebastian,10,,,,"
                                            Before I Go
                                        "
P!nk,11,,,,"
                                            Walk Me Home
                                        "
Nielson,12,,,,"
                                            IJskoud
                                        "
Alan Walker & Sophia Somajo,13,,,,"
                                            Diamond Heart
                                        "
Davina Michelle,14,,,,"
                                            Skyward
                                        "
Sam Smith with Normani,15,,,,"
                                            Dancing With A Stranger
                                        "
Jonas Brothers,16,,,,"
                                            Sucker
                                        "
Martin Garrix feat. Bonn,17,,,,"
                                            No Sleep
                                        "
Dermot Kennedy,18,,,,"
                                            Power Over Me
                                        "
Ava Max,19,,,,"
                                            Sweet But Psycho
                                        "
Lady Gaga & Bradley Cooper,20,,,,"
                                            Shallow
                                        "
Khalid,21,,,,"
                                            Talk
                                        "
Lewis Capaldi,22,,,,"
                                            Someone You Loved
                                        "
Marshmello ft. Chvrches,23,,,,"
                                            Here With Me
                                        "
Alec Benjamin / Alec Benjamin + Alessia Cara,24,,,,"
                                            Let Me Down Slowly
                                        "
Alvaro Soler,25,,,,"
                                            Loca
                                        "
Billie Eilish,26,,,,"
                                            Bad Guy
                                        "
Lady Gaga,27,,,,"
                                            Always Remember Us This Way
                                        "
Panic! At The Disco,28,,,,"
                                            High Hopes
                                        "
Ava Max,29,,,,"
                                            So Am I
                                        "
Panic! At The Disco,30,,,,"
                                            Hey Look Ma, I Made It
                                        "
Jonas Blue ft. Theresa Rex,31,,,,"
                                            What I Like About You
                                        "
Mark Ronson feat: Miley Cyrus,32,,,,"
                                            Nothing Breaks Like A Heart
                                        "
Priceless & Frenna & Murda,33,,,,"
                                            Rompe
                                        "
Wulf/Miss Montreal,34,,,,"
                                            Scared Of Love
                                        "
David Guetta & Bebe Rexha & J Balvin,35,,,,"
                                            Say My Name
                                        "
Danny Vera,36,,,,"
                                            Roller Coaster
                                        "
Kygo & Valerie Broussard,37,,,,"
                                            Think About You
                                        "
Davina Michelle,38,,,,"
                                            Duurt Te Lang
                                        "
Zedd & Katy Perry,39,,,,"
                                            365
                                        "
Imagine Dragons,40,,,,"
                                            Bad Liar
                                        "
The Chainsmokers ft. 5SOS,41,,,,"
                                            Who Do You Love
                                        "
Ariana Grande,42,,,,"
                                            7 Rings
                                        "
Snelle,43,,,,"
                                            Scars
                                        "
Rita Ora,44,,,,"
                                            Let You Love Me
                                        "
