artist,chart_position,count,country,production_house,title
Lil Nas X,1,,,,Old Town Road
Billie Eilish,2,,,,bad guy
"Alan Walker,Sabrina Carpenter,Farruko",3,,,,On My Way
Nicolay Ramm,4,,,,Raske Briller
Ava Max,5,,,,So Am I
"Lady Gaga,Bradley Cooper",6,,,,Shallow
Mabel,7,,,,Don’t Call Me Up
Billie Eilish,8,,,,bury a friend
Jonas Brothers,9,,,,Sucker
"Rat City,Isak Heim",10,,,,Kind Of Love (feat. Isak Heim)
Ava Max,11,,,,Sweet but Psycho
Bebe Rexha,12,,,,Last Hurrah
Billie Eilish,13,,,,when the party’s over
Broiler,14,,,,Do It
Lady Gaga,15,,,,Always Remember Us This Way
Ariana Grande,16,,,,7 rings
Billie Eilish,17,,,,wish you were gay
Alec Benjamin,18,,,,Let Me Down Slowly
"Ina Wroldsen,Dynoro",19,,,,Obsessed
"Alan Walker,Steve Aoki,ISÁK,Omar Noir",20,,,,Lonely (feat. ISÁK & Omar Noir)
Julie Bergan,21,,,,STFU
Ruben,22,,,,Lay By Me
Post Malone,23,,,,Wow.
Dean Lewis,24,,,,Be Alright
Keiino,25,,,,Spirit in the Sky
"Calvin Harris,Rag'n'Bone Man",26,,,,Giant (with Rag’n’Bone Man)
Halsey,27,,,,Without Me
"Khalid,John Mayer",28,,,,Outta My Head (with John Mayer)
"Sam Smith,Normani",29,,,,Dancing With A Stranger (with Normani)
Unge Ferrari,30,,,,Vi Kanke Være Venner
"Frank Walker,Astrid S",31,,,,Only When It Rains
"<span class=""artist"">Zara larsson</span>",32,,,,Don't worry bout me
"Alan Walker,Sophia Somajo",33,,,,Diamond Heart
"Isah,Dutty Dior",34,,,,HALLO
"David Guetta,Brooks,Loote",35,,,,Better When You’re Gone
Unge Ferrari,36,,,,Balkong
"CLMD,Madcon",37,,,,Anything
Daya,38,,,,Insomnia
"Marshmello,CHVRCHES",39,,,,Here With Me
Astrid S,40,,,,Someone New
