artist,chart_position,production_house,title
Vindar På Mars,1,,Hov1
bad guy,2,,Billie Eilish
Fusk,3,,Einár ft. K27
Too Late For Love,4,,John Lundvik
Fram,5,,Dree Low & Yasin
Shallow,6,,Lady GaGa & Bradley Cooper
Don't Worry Bout Me,7,,Zara Larsson
Katten I Trakten,8,,Einár
bury a friend,9,,Billie Eilish
All Night Long (All Night),10,,Benjamin Ingrosso
Blessed,11,,Ant Wan
Kurt Cobain,12,,Veronica Maggio
wish you were gay,13,,Billie Eilish
Hold You,14,,Hanna Ferm/LIAMOO
Hello,15,,Mohombi
Don't Call Me Up,16,,Mabel
Vårt År,17,,estrad & Tjuvjakt
Wow.,18,,Post Malone
Den Som E Den,19,,Molly Sandén
when the party's over,20,,Billie Eilish
Kall,21,,Ant Wan
Blommor Där Du Står,22,,GAMMAL
Old Town Road,23,,Lil Nas X
Always Remember Us This Way,24,,Lady GaGa
all the good girls go to hell,25,,Billie Eilish
Drip,26,,Ant Wan
7 rings,27,,Ariana Grande
Con Calma,28,,Daddy Yankee feat. Snow
Not With Me,29,,Wiktoria
Göre Före Money,30,,Mehmet
Livet Vi Lever,31,,1.Cuz x Asme
xanny,32,,Billie Eilish
On My Way,33,,"Alan Walker, Sabrina Carpenter, Farruko"
Sucker,34,,Jonas Brothers
On My Own,35,,Bishara
Dancing With A Stranger,36,,Sam Smith with Normani
Svårt,37,,Jireel
Sunflower,38,,Post Malone & Swae Lee
Here With Me,39,,Marshmello ft. CHVRCHES
High Hopes,40,,Panic! At The Disco
Hög,41,,Darin
Du Med Dig,42,,Miriam Bryant
you should see me in a crown,43,,Billie Eilish
DEUTSCHLAND,44,,Rammstein
Sweet But Psycho,45,,Ava Max
my strange addiction,46,,Billie Eilish
i love you,47,,Billie Eilish
I Do,48,,Arvingarna
Ungefär,49,,Z.E & Jiggz
Be Alright,50,,Dean Lewis
Sunnanvind,51,,Mares
Norrsken,52,,Jon Henrik Fjällgren
Akhi,53,,Dree Low
Kapabel,54,,Dree Low & Adel
Torn,55,,Lisa Ajax
"break up with your girlfriend, i'm bored",56,,Ariana Grande
Hon Dansar Vidare I Livet,57,,Hov1
Walk Me Home,58,,P!nk
Habibi,59,,Dolly Style
Forgive Me Friend,60,,Smith & Thell + Swedish Jam Factory
