artist,chart_position,production_house,title
LEWIS CAPALDI,1,EMI,SOMEONE YOU LOVED
BILLIE EILISH,2,INTERSCOPE,BAD GUY
CALVIN HARRIS & RAG'N'BONE MAN,3,COLUMBIA,GIANT
TOM WALKER,4,RELENTLESS,JUST YOU AND I
JONAS BROTHERS,5,HOLLYWOOD,SUCKER
BILLIE EILISH,6,INTERSCOPE,BURY A FRIEND
DAVE FT BURNA BOY,7,DAVE NEIGHBOURHOOD,LOCATION
STEEL BANGLEZ/TRACEY/MOSTACK,8,GIFTED MUSIC/WARNER BROS,FASHION WEEK
ARIANA GRANDE,9,REPUBLIC RECORDS,BREAK UP WITH YOUR GIRLFRIEND I'M BORED
MEDUZA FT GOODBOYS,10,POLYDOR,PIECE OF YOUR HEART
WILEY/STEFFLON DON/SEAN PAUL,11,BMG,BOASTY
LAUV & TROYE SIVAN,12,LAUV,I'M SO TIRED
BILLIE EILISH,13,INTERSCOPE,WISH YOU WERE GAY
PINK,14,RCA,WALK ME HOME
MARSHMELLO FT CHVRCHES,15,JOYTIME/POSITIVA,HERE WITH ME
KHALID,16,RIGHT HAND MUSIC,TALK
NSG FT TION WAYNE,17,NSG,OPTIONS
SIGRID,18,ISLAND,DON'T FEEL LIKE CRYING
JAY1,19,GRM,YOUR MRS
AVA MAX,20,ATLANTIC,SO AM I
MABEL,21,POLYDOR,DON'T CALL ME UP
POST MALONE,22,REPUBLIC RECORDS,WOW.
DAVE FT J HUS,23,BLACK BUTTER/DAVE NBOURHOOD,DISASTER
AVA MAX,24,ATLANTIC,SWEET BUT PSYCHO
RUSS & TION WAYNE,25,VIRGIN,KEISHA & BECKY
WESTLIFE,26,EMI,BETTER MAN
SAM SMITH & NORMANI,27,CAPITOL,DANCING WITH A STRANGER
BLUEFACE,28,entertainment one,THOTIANA
LEWIS CAPALDI,29,EMI,GRACE
YNW MELLY,30,300 ENTERTAINMENT,MURDER ON MY MIND
LADY GAGA & BRADLEY COOPER,31,INTERSCOPE,SHALLOW
CARDI B & BRUNO MARS,32,ATLANTIC,PLEASE ME
DAVE,33,DAVE NEIGHBOURHOOD,STREATHAM
A BOOGIE WIT DA HOODIE/6IX9INE,34,ATLANTIC,SWERVIN
GEORGE EZRA,35,COLUMBIA,SHOTGUN
GEORGE EZRA,36,COLUMBIA,PRETTY SHINING PEOPLE
PANIC AT THE DISCO,37,FUELED BY RAMEN,HIGH HOPES
ARIANA GRANDE,38,REPUBLIC RECORDS,7 RINGS
LIL NAS X,39,LIL NAS X,OLD TOWN ROAD
ARIANA GRANDE & VICTORIA MONET,40,REPUBLIC RECORDS,MONOPOLY
